Average of salary,
position,Total
PH,"$851,742"
RP,"$1,885,641"
C,"$2,688,307"
DNP,"$2,934,481"
SS,"$3,387,670"
3B,"$3,812,925"
2B,"$3,844,461"
CF,"$4,054,417"
LF,"$4,075,945"
1B,"$5,298,528"
DH,"$5,327,875"
RF,"$5,480,625"
SP,"$5,765,586"
Grand Total,"$3,597,565"
